代码,名称,买入日,卖出日,买入月份,卖出日市场环境,持仓天数,卖出时连续弱市持仓天数,累计弱市持仓天数,最大连续弱市持仓天数,买入数量,买入价,卖出价,买入耗资,卖出净额,单笔净利,盈亏率,买入分数,排序分,卖出原因,卖出后现金,信号日,信号日市场环境,信号日市场MA20宽度,信号日市场MA60宽度,信号日市场MA60上行宽度,信号日指数站上MA20,信号日指数MA20上行,信号日指数站上MA60,信号日收盘,信号日RSI14,信号日量比,信号日20日均成交额,信号日距MA20,信号日距MA60,信号日站上MA20,信号日站上MA60,信号日MA20上行,信号日MA60上行,信号日突破20日新高,信号日前5日阳线数,买入日市场环境,买入日市场MA20宽度,买入日市场MA60宽度,买入日开盘跳空,买入日开盘距MA20
002651,利君股份,2025-08-05,2025-08-19,2025-08,强,10,0,0,0,1200,13.307,13.134,15972.87,15747.54,-225.34,-0.01299208811293071,90,90,沉没止损,50923.15,2025-08-04,中,0.5255102040816326,0.7721088435374149,0.826530612244898,True,True,True,12.83,67.97065991403687,1.6819802647887616,515945570.482,0.08023911762229519,0.07760792877540723,True,True,True,True,True,3,强,0.641156462585034,0.8214285714285714,0.035074045206547,0.11092521331771787
603087,甘李药业,2025-08-05,2025-08-19,2025-08,强,10,0,0,0,200,62.224,63.632,12449.84,12715.13,265.29,0.022632352043095737,80,80,沉没止损,63638.28,2025-08-04,中,0.5255102040816326,0.7721088435374149,0.826530612244898,True,True,True,62.09,67.40112989019121,1.6268994699455699,905071259.2774999,0.08733341505700243,0.14770714274711572,True,True,True,True,True,3,强,0.641156462585034,0.8214285714285714,0.0001610565308423073,0.07908043580253343
002453,华软科技,2025-08-05,2025-08-19,2025-08,强,10,0,0,0,2600,6.062,6.058,15766.46,15737.56,-28.9,-0.0006994275910986878,78,78,沉没止损,79375.84,2025-08-04,中,0.5255102040816326,0.7721088435374149,0.826530612244898,True,True,True,6.05,66.43835552730346,1.5812275295847085,131602102.0105,0.03898334191997255,0.05529391243676951,True,True,False,True,False,2,强,0.641156462585034,0.8214285714285714,0.0,0.03764685704485027
001207,联科科技,2025-08-05,2025-08-19,2025-08,强,10,0,0,0,800,18.397,18.024,14722.38,14406.89,-315.48,-0.02026665623002362,75,75,沉没止损,93782.74,2025-08-04,中,0.5255102040816326,0.7721088435374149,0.826530612244898,True,True,True,18.28,71.07623296074725,1.8191546978210806,95161151.513,0.08709226606404807,0.11427178153446049,True,True,True,True,True,4,强,0.641156462585034,0.8214285714285714,0.004376367614879584,0.08777438753443723
002420,毅昌科技,2025-08-05,2025-08-22,2025-08,强,13,0,0,0,2400,6.733,6.946,16165.26,16657.26,492.0,0.031579697747362474,80,80,沉没止损,33139.75,2025-08-04,中,0.5255102040816326,0.7721088435374149,0.826530612244898,True,True,True,6.66,60.39603876678757,1.8762672744103674,129164370.17549999,0.02880976287943171,0.0776117792999298,True,True,True,True,True,3,强,0.641156462585034,0.8214285714285714,0.009009009009008917,0.03527961793252188
600172,黄河旋风,2025-08-06,2025-09-01,2025-08,中,18,0,0,0,3500,4.549,4.641,15926.78,16229.33,302.55,0.020140336067952354,90,90,沉没止损,33672.76,2025-08-05,强,0.641156462585034,0.8214285714285714,0.8112244897959183,True,True,True,4.56,64.48598046466938,1.6951341635310464,259300175.333,0.041690462592803845,0.06351550960118169,True,True,True,True,True,3,强,0.6598639455782312,0.8350340136054422,-0.004385964912280604,0.034639927073837784
000166,申万宏源,2025-08-18,2025-09-01,2025-08,中,10,0,0,0,2900,5.551,5.439,16103.13,15760.5,-342.63,-0.020172651087716258,90,90,沉没止损,49433.26,2025-08-15,强,0.5840407470288624,0.8098471986417657,0.830220713073005,True,True,True,5.5,60.714284196428665,2.088282340571934,509749461.0915,0.03500188182160335,0.09656409915597775,True,True,True,True,True,4,强,0.6581632653061225,0.8350340136054422,0.0072727272727273196,0.03988737681839494
000156,华数传媒,2025-08-19,2025-09-02,2025-08,中,10,0,0,0,1900,8.246,8.243,15673.27,15649.78,-23.49,-0.00036136718058425927,90,90,沉没止损,65083.04,2025-08-18,强,0.6581632653061225,0.8350340136054422,0.8316326530612245,True,True,True,8.29,55.04587085262182,1.8786372480530318,113436579.578,0.019554790308695003,0.05350108018807953,True,True,True,True,True,3,强,0.75,0.8605442176870748,-0.007237635705669376,0.011491427517974495
000728,国元证券,2025-08-19,2025-09-02,2025-08,中,10,0,0,0,1800,8.928,8.912,16075.08,16028.83,-46.24,-0.001756307810865527,90,90,沉没止损,81111.87,2025-08-18,强,0.6581632653061225,0.8350340136054422,0.8316326530612245,True,True,True,8.9,66.66666577777778,1.6299135393686843,496130004.38150007,0.048909840895698276,0.12551375276636123,True,True,True,True,True,3,强,0.75,0.8605442176870748,0.0011235955056179137,0.046327285538136476
000948,南天信息,2025-08-19,2025-09-02,2025-08,中,10,0,0,0,700,20.691,19.481,14488.91,13624.85,-864.06,-0.058495116304920367,90,90,破位防守,94736.73,2025-08-18,强,0.6581632653061225,0.8350340136054422,0.8316326530612245,True,True,True,20.7,66.66666612085777,1.6412406487764677,293451547.312,0.0343535290443473,0.03440521700022492,True,True,False,True,True,5,强,0.75,0.8605442176870748,-0.0024154589371980784,0.03090210174229946
